Id,StreetAddress,City,State,ZipCode
1,34 Waubesa Way,Atlanta,Georgia,79841
2,9419 Banding Way,Orlando,Florida,33618
3,68308 Old Gate Road,Saginaw,Michigan,71908
4,7902 Bay Pass,Topeka,Kansas,51295
5,1 Manitowish Plaza,Young America,Minnesota,75454
6,8 Alpine Lane,Kansas City,Kansas,36368
7,229 Blackbird Court,Nashville,Tennessee,68537
8,499 Clemons Junction,Austin,Texas,63400
9,448 Boyd Way,Hamilton,Ohio,60370
10,9175 Acker Junction,Bethesda,Maryland,86250
11,2254 Sauthoff Lane,Mesa,Arizona,33198
12,7891 Donald Way,Sandy,Utah,46479
13,066 8th Circle,Knoxville,Tennessee,45190
14,73 Warrior Trail,Kansas City,Missouri,56466
15,635 Mariners Cove Center,Utica,New York,42705
16,1420 Old Shore Plaza,Cambridge,Massachusetts,35826
17,7771 Elmside Center,Shreveport,Louisiana,96729
18,21 Mayfield Way,Tucson,Arizona,36703
19,0070 Londonderry Court,Indianapolis,Indiana,27881
20,44721 Carpenter Pass,San Francisco,California,27306
21,483 Ridgeview Trail,Littleton,Colorado,45423
22,4 Harbort Avenue,Charlotte,North Carolina,68986
23,0066 Express Center,Hartford,Connecticut,93102
24,0 Sachtjen Way,Seattle,Washington,26950
25,53 Orin Center,Miami,Florida,53529
26,43544 Lakeland Lane,Eugene,Oregon,65411
27,66504 Graceland Alley,Washington,District of Columbia,11152
28,732 Memorial Drive,Rochester,New York,38171
29,833 Colorado Alley,Akron,Ohio,81065
30,13 Hauk Street,Miami,Florida,35814
31,218 Ryan Point,Charleston,West Virginia,47467
32,27 Rockefeller Hill,Waco,Texas,39879
33,64 Esker Point,Gulfport,Mississippi,73799
34,71071 Holmberg Hill,Kansas City,Missouri,96202
35,9782 Mendota Pass,Atlanta,Georgia,53440
36,48094 Homewood Center,Shreveport,Louisiana,83532
37,1971 Summer Ridge Hill,New Orleans,Louisiana,82280
38,2654 Hallows Center,Arlington,Virginia,17720
39,84 Saint Paul Alley,Mobile,Alabama,53923
40,15 Colorado Alley,Macon,Georgia,82897
41,617 Warbler Alley,Largo,Florida,31186
42,4583 Lakewood Gardens Point,Wichita,Kansas,97958
43,5 Hansons Trail,Dallas,Texas,24668
44,6845 Kim Point,Vero Beach,Florida,27667
45,47 Golf View Drive,Houston,Texas,79514
